1 山猪 1 63,81
1 蝴蝶 1 30,77
2 黑猪兽妖 15 69,-3
2 通臂猿 15 69,-3
2 灵猴 19 178,-149
2 野猪兽妖 19 178,-149
2 黑节竹 19 -141,309
2 文文 23 344,161
2 剑奴 23 344,161
2 剑魔 23 313,208
2 猫女 27 -259,-59
2 幼齿猫女 27 -259,-145
2 神火教护法 27 -348,-300
3 黑熊兽妖 30 119,-174
3 鸦人 30 152,-152
3 山贼 34 -29,66
3 骷髅魔兵 34 -29,66
3 流寇 38 -42,204
3 骷髅射手 38 138,263
3 红云妖僧 42 258,203
3 嗜血妖僧 42 -113,285
3 凶鸦 42 274,-371
3 天音云游天将 42 140,-314
4 五花蛛 45 -260,80
4 毒蜘蛛 45 -260,80
4 铁背蟹 49 213,-57
4 横行蟹 49 213,-57
4 流波海女 53 101,-63
4 流波海贼 53 115,-103
4 血蜘蛛 57 72,-310
4 流波海盗 57 -131,-307
4 远古犀甲人 57 -247,-273
4 流波云游天将 57 140,-314
4 凶咒海盗头目 55 -3,-168
5 死泽巨鳄 60 92,-23
5 死泽孤魂 60 113,-30
5 猛毒蚁 64 -257,-222
5 腐尸蚁 64 -257,-222
5 死泽铁鳄 68 316,-26
5 毒血飞芒 68 316,-26
5 死泽鱼人 72 232,221
5 死泽野鬼 72 -366,280
5 死泽树妖 72 -391,191
5 桃花树妖 72 -391,191
5 死泽云游天将 72 140,-314
6 蛮荒巨蜥 75 24,135
6 蛮荒蚁人 75 273,202
6 蛮荒蚁王 75 270,203
6 沙漠盗人 79 139,-342
6 沙虫 79 108,-399
6 沙人 79 -6,-401
6 蛮荒凶灵 83 -46,221
6 蛮荒神巫 83 143,402
6 蛮荒斗士 83 218,266
6 修罗鸟 87 -390,188
6 白骨妖蛇 87 -372,241
6 狂狮兽妖 87 -276,-429
6 蛮荒巨人 87 -282,-435
6 蛮荒云游天将 87 -282,-435
7 焚香树妖 90 34,341
7 红眼雕 90 57,287
7 牛头妖人 90 -64,-151
7 火焰兽 94 408,-5
7 巫族护法 94 -291,-2
7 巫族战士 94 182,54
7 菊花精 98 155,-289
7 兰花妖媚 98 256,-268
7 焚香鱼人 98 311,353
7 狐妖 102 -367,-303
7 双头怪 102 297,-342
7 焚香游魂 102 187,-320
7 吸血妖人 102 -217,-355
7 焚香云游天将 102 140,-314
7 凶咒黑血炎魔 104 321,-209
8 地龙 105 97,260
8 噬人花 105 97,260
8 凶牙鸠魔 105 381,340
8 凶牙首领 105 381,340
8 石人族 109 -184,66
8 黑巫长老 109 -2,343
8 南疆妖巫 109 -12,388
8 蛊虫 113 -418,-5
8 夏耕尸 113 -317,-94
8 吞天熊兽 113 94,-365
8 裂空狮怪 113 199,-377
8 啸月虎妖 113 -163,-406
8 残暴厉蛇 117 -384,111
8 邪魅凶蛇 117 -374,108
8 九幽冥使 117 -386,-238
8 南疆云游天将 117 -350,61
8 负心薄幸之徒 117 -373,107
10 雪山飞狐 120 -348,316
10 雪域狂客 120 -347,274
10 雪域悍将 124 -154,133
10 雪域霸王 124 -228,-71
10 风雪魔魁 124 52,242
10 天池仙晶 128 3,-221
10 昆仑龙鹫 128 98,-203
10 昆仑守卫 128 302,-99
10 凝雪幽魂 132 -398,-216
10 雪魄女妖 132 -398,-216
10 雪域熊妖 132 159,-343
10 昆仑云游天将 132 140,-314
11 旱魃 135 -34,-341
11 修罗勇士 135 225,-156
11 罗刹 139 139,47
11 夜叉 139 112,-27
11 铜甲尸 143 290,278
11 修罗凶卒 143 293,124
11 修罗铁卫 147 -178,378
11 修罗魔骑 147 -157,195
11 修罗冥将 147 117,140
11 修罗云游天将 147 -393,250
